projectName,feedbackQuestionName,dateStart,dateEnd,userEmail,checkedAnswer,textAnswer
"Castillo, Frey and Stewart Project",How satisfied are you with the level of transparency in project communication?,09-07-2023,15-07-2023,jonathonorozco@example.org,3.0,
Wheeler and Sons Initiative,How satisfied are you with the project deliverables?,26-11-2023,02-12-2023,lucasmiddleton@example.org,3.0,Fair
"Jones, Meyer and Smith Solution",Did the project meet your expectations? Please rate from 1 to 5,04-09-2022,10-09-2022,caitlinparker@example.net,,
Barnett-Harris Initiative,Rate the accuracy of the project budget estimation from 1 to 5,27-11-2022,03-12-2022,lblankenship@example.com,3.0,
Green Ltd Project,Were the project resources allocated efficiently? Please rate from 1 to 5,01-05-2022,07-05-2022,walterschristopher@example.org,,
Solis-Smith Project,How satisfied are you with the level of collaboration within the team?,30-07-2023,05-08-2023,jcowan@example.net,4.0,
Smith LLC Initiative,Rate the level of adaptability shown by the team members on a scale of 1 to 5,28-01-2024,03-02-2024,shepherdashley@example.com,1.0,
Johnson-Duncan Initiative,How would you rate the problem-solving skills of the team?,07-05-2023,13-05-2023,sloanyvonne@example.org,2.0,
Stewart Group Initiative,Were the project goals clearly defined? Please rate from 1 to 5,24-03-2024,30-03-2024,sloanyvonne@example.org,3.0,Good
"French, Perez and Hernandez Solution",Rate the accuracy of the project budget estimation from 1 to 5,29-01-2023,04-02-2023,hbrown@example.org,3.0,
Parker-Osborn Project,How would you rate the quality of work delivered by the team?,26-06-2022,02-07-2022,greenlinda@example.net,5.0,
Middleton Ltd Project,Rate the level of innovation demonstrated in the project from 1 to 5,30-07-2023,05-08-2023,lesterrobin@example.org,3.0,Excellent
Green Ltd Project,Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,09-10-2022,15-10-2022,samantha45@example.com,,Average
Barnett-Harris Initiative,How would you rate the quality of work delivered by the team?,29-01-2023,04-02-2023,welchcourtney@example.com,5.0,
Parker-Osborn Project,Rate the accuracy of the project budget estimation from 1 to 5,21-05-2023,27-05-2023,jyoung@example.com,1.0,
