userEmail,projectSelected,dateStart,dateEnd,taskSelected,commentAdded,d0,d1,d2,d3,d4,d5,d6,activityName
ygreen@example.org,Schneider and Sons Solution,24-03-2024,30-03-2024,,,2.0,,5.0,5.0,5.0,6.0,,Sales Activity
jacksonjennifer@example.org,"Lang, Allen and Hayes Solution",02-04-2023,08-04-2023,,Can't wait to see the end result,,6.0,5.0,5.0,,,2.0,Sales Activity
maysnicole@example.org,Martin-Ball Project,18-06-2023,24-06-2023,,,0.0,4.0,,,,,3.0,BAU Activity
matthewwilson@example.com,"Stevens, Andrews and Medina Initiative",17-12-2023,23-12-2023,,Can't wait to see the end result,,6.0,4.0,,,,,Sales Activity
chad42@example.net,"Austin, Barnes and Marquez Initiative",21-05-2023,27-05-2023,,Looking forward to the challenge,2.0,6.0,4.0,4.0,,,2.0,Sales Activity
jane99@example.net,Love Ltd Solution,05-03-2023,11-03-2023,,,2.0,,,6.0,,,0.0,Sales Activity
walkermargaret@example.com,Moreno-Jackson Project,25-02-2024,02-03-2024,,,,8.0,,10.0,,1.0,3.0,BAU Activity
frostnicholas@example.net,"Lang, Allen and Hayes Solution",12-02-2023,18-02-2023,,Can't wait to see the end result,0.0,,,5.0,,5.0,5.0,Sales Activity
ryan30@example.net,"Jackson, Nguyen and Crawford Project",06-11-2022,12-11-2022,,Ready to dive in,5.0,,,7.0,,,1.0,Sales Activity
adamscharlotte@example.com,Brown Inc Initiative,01-01-2023,07-01-2023,,,1.0,,4.0,5.0,,4.0,7.0,Sales Activity
darlene06@example.net,Lopez Inc Initiative,08-10-2023,14-10-2023,,,0.0,5.0,,6.0,6.0,1.0,10.0,Sales Activity
jordancindy@example.com,Cabrera Inc Project,15-10-2023,21-10-2023,,,3.0,4.0,10.0,11.0,6.0,11.0,2.0,Sales Activity
rebekahphillips@example.org,Hurley Group Project,02-04-2023,08-04-2023,,Eager to collaborate with the team,,5.0,3.0,,6.0,4.0,2.0,BAU Activity
wardallen@example.org,Serrano and Sons Solution,10-07-2022,16-07-2022,,,0.0,4.0,6.0,6.0,6.0,4.0,0.0,Sales Activity
laurie29@example.org,Serrano and Sons Solution,31-03-2024,06-04-2024,,,2.0,,5.0,,1.0,,2.0,Sales Activity
hhouse@example.org,"Brown, Sims and Davis Initiative",24-09-2023,30-09-2023,,Feeling motivated,0.0,7.0,6.0,6.0,11.0,8.0,1.0,BAU Activity
christopherhale@example.net,"Nguyen, Peters and Walker Initiative",23-04-2023,29-04-2023,,,11.0,12.0,3.0,2.0,4.0,4.0,1.0,BAU Activity
bcortez@example.com,Schneider and Sons Solution,26-02-2023,04-03-2023,,Looking forward to the challenge,3.0,,8.0,7.0,6.0,11.0,12.0,Sales Activity
kyliescott@example.com,"Brown, Vasquez and Bush Initiative",05-02-2023,11-02-2023,,Ready to dive in,,0.0,,5.0,3.0,4.0,1.0,BAU Activity
mitchellchristina@example.org,Taylor LLC Project,26-11-2023,02-12-2023,,,0.0,4.0,5.0,,6.0,0.0,0.0,BAU Activity
frostnicholas@example.net,Greene Inc Initiative,10-03-2024,16-03-2024,,,3.0,,4.0,5.0,4.0,2.0,1.0,BAU Activity
castillolisa@example.org,Herrera Ltd Initiative,28-05-2023,03-06-2023,,,0.0,5.0,3.0,12.0,10.0,10.0,2.0,BAU Activity
hreynolds@example.com,"Jimenez, Mendez and Lewis Initiative",27-08-2023,02-09-2023,,,0.0,6.0,7.0,,5.0,4.0,9.0,BAU Activity
kristinamanning@example.net,Austin-Clark Project,12-11-2023,18-11-2023,,,0.0,4.0,7.0,5.0,5.0,,2.0,BAU Activity
tara43@example.net,Stevenson-Johnson Project,05-06-2022,11-06-2022,,,,4.0,5.0,,,3.0,,BAU Activity
cooksabrina@example.org,Cabrera Inc Project,01-10-2023,07-10-2023,,,3.0,4.0,7.0,4.0,4.0,,2.0,BAU Activity
joseph17@example.net,Castillo PLC Solution,26-11-2023,02-12-2023,,,5.0,4.0,,,0.0,0.0,,BAU Activity
gfrancis@example.com,Stevenson-Johnson Project,04-02-2024,10-02-2024,,,,6.0,7.0,12.0,5.0,2.0,2.0,BAU Activity
jade52@example.org,Scott and Sons Project,05-06-2022,11-06-2022,,Ready to dive in,1.0,5.0,4.0,,0.0,,0.0,Sales Activity
jacobsmall@example.com,Serrano and Sons Solution,14-08-2022,20-08-2022,,Excited to get started!,,6.0,0.0,,8.0,5.0,0.0,Sales Activity
csims@example.org,Lopez Inc Initiative,08-05-2022,14-05-2022,,,2.0,5.0,12.0,10.0,11.0,,,BAU Activity
bthompson@example.org,Lopez Inc Initiative,17-07-2022,23-07-2022,,,0.0,2.0,5.0,,6.0,,,Sales Activity
christina43@example.org,Lindsey Inc Initiative,05-02-2023,11-02-2023,,Feeling optimistic about this project,2.0,4.0,,9.0,9.0,5.0,,Sales Activity
petersenjennifer@example.com,Lindsey Inc Initiative,26-11-2023,02-12-2023,,Eager to collaborate with the team,,2.0,12.0,4.0,8.0,,0.0,BAU Activity
georgerachel@example.net,Snow-Lee Project,14-05-2023,20-05-2023,,,,5.0,10.0,4.0,2.0,,9.0,Sales Activity
charlesallen@example.net,Hurley Group Project,23-04-2023,29-04-2023,,,0.0,12.0,7.0,6.0,,5.0,2.0,BAU Activity
dawnpeterson@example.org,"Turner, Evans and Reed Solution",16-07-2023,22-07-2023,,,2.0,5.0,,2.0,,,2.0,Sales Activity
tim23@example.com,"Jackson, Nguyen and Crawford Project",06-08-2023,12-08-2023,,Ready to dive in,0.0,5.0,,,4.0,,6.0,Sales Activity
kimberly53@example.net,Serrano and Sons Solution,12-06-2022,18-06-2022,,Can't wait to see the end result,0.0,,,,,2.0,11.0,Sales Activity
haleycross@example.com,Lopez Inc Initiative,04-12-2022,10-12-2022,,Hopeful for a successful outcome,0.0,5.0,6.0,10.0,5.0,4.0,5.0,BAU Activity
david77@example.org,"Stevens, Andrews and Medina Initiative",13-11-2022,19-11-2022,,Feeling motivated,2.0,6.0,4.0,4.0,5.0,4.0,0.0,BAU Activity
walkerjohn@example.org,Schneider and Sons Solution,03-07-2022,09-07-2022,,Looking forward to the challenge,0.0,5.0,8.0,,,6.0,0.0,BAU Activity
davisgary@example.net,Hurley Group Project,26-11-2023,02-12-2023,,,,,6.0,,12.0,4.0,2.0,Sales Activity
malikmurray@example.org,"Austin, Barnes and Marquez Initiative",28-01-2024,03-02-2024,,Ready to dive in,,1.0,8.0,,6.0,2.0,1.0,Sales Activity
jermaine47@example.net,Hernandez-Wells Initiative,23-10-2022,29-10-2022,,Can't wait to see the end result,1.0,4.0,,5.0,6.0,5.0,2.0,Sales Activity
xjackson@example.net,Henry-Sandoval Project,15-01-2023,21-01-2023,,,3.0,,5.0,4.0,,,3.0,BAU Activity
kathryn48@example.net,Li-Schwartz Project,09-10-2022,15-10-2022,,,2.0,9.0,6.0,3.0,,5.0,,Sales Activity
ejackson@example.com,Love Ltd Solution,24-04-2022,30-04-2022,,,4.0,,,,2.0,0.0,,Sales Activity
christophergraham@example.com,"Mckinney, Ross and Reed Solution",04-09-2022,10-09-2022,,Feeling optimistic about this project,2.0,,6.0,,,,,BAU Activity
kellystephanie@example.org,Greene Inc Initiative,29-05-2022,04-06-2022,,,6.0,4.0,5.0,9.0,4.0,5.0,1.0,BAU Activity
lindsayunderwood@example.com,Hernandez-Wells Initiative,08-05-2022,14-05-2022,,Excited to get started!,0.0,,11.0,5.0,6.0,5.0,0.0,BAU Activity
pbrandt@example.com,Malone-Mcclure Initiative,01-05-2022,07-05-2022,,,3.0,4.0,2.0,1.0,,,0.0,Sales Activity
sarahnguyen@example.net,Scott and Sons Project,22-05-2022,28-05-2022,,Feeling motivated,,0.0,,4.0,,,,BAU Activity
martinrobert@example.com,Ford LLC Solution,26-06-2022,02-07-2022,,Feeling motivated,4.0,11.0,11.0,1.0,4.0,5.0,,Sales Activity
thomaslisa@example.org,"Gonzalez, Anderson and Walsh Project",15-05-2022,21-05-2022,,Looking forward to the challenge,8.0,6.0,1.0,,11.0,,1.0,BAU Activity
amyfields@example.net,"Austin, Barnes and Marquez Initiative",17-07-2022,23-07-2022,,,0.0,5.0,,12.0,4.0,,2.0,BAU Activity
zwalton@example.org,Scott and Sons Project,11-06-2023,17-06-2023,,,7.0,6.0,5.0,,2.0,4.0,1.0,Sales Activity
kgreer@example.com,Brown Inc Initiative,18-12-2022,24-12-2022,,Excited to get started!,10.0,6.0,4.0,4.0,,9.0,,BAU Activity
adamhorton@example.com,"Adams, Mcgee and Baker Initiative",09-04-2023,15-04-2023,,Hopeful for a successful outcome,,4.0,5.0,8.0,6.0,,1.0,Sales Activity
patriciablake@example.com,Ward-Berg Initiative,14-08-2022,20-08-2022,,,,,4.0,,3.0,,0.0,BAU Activity
sparkskristi@example.com,"Brown, Vasquez and Bush Initiative",25-02-2024,02-03-2024,,Hopeful for a successful outcome,2.0,4.0,4.0,1.0,3.0,4.0,1.0,BAU Activity
melissa30@example.com,Ward-Berg Initiative,19-02-2023,25-02-2023,,,0.0,4.0,,,6.0,4.0,3.0,Sales Activity
xrobinson@example.org,Patrick Inc Initiative,05-03-2023,11-03-2023,,,,6.0,4.0,4.0,12.0,12.0,2.0,Sales Activity
david77@example.org,Martin-Ball Project,03-07-2022,09-07-2022,,,2.0,4.0,,0.0,4.0,,11.0,BAU Activity
erica49@example.com,Simpson-Caldwell Project,10-09-2023,16-09-2023,,Eager to collaborate with the team,0.0,2.0,0.0,0.0,,,1.0,BAU Activity
ydavis@example.com,Moreno-Jackson Project,05-11-2023,11-11-2023,,,,5.0,12.0,5.0,,4.0,3.0,Sales Activity
