projectName,feedbackQuestionName,dateStart,dateEnd,userEmail,checkedAnswer,textAnswer
White-Lozano Project,How would you rate the level of client satisfaction with the project outcomes?,21-08-2022,27-08-2022,rogersthomas@example.net,1.0,
Yoder Inc Initiative,Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,08-01-2023,14-01-2023,stephen10@example.net,3.0,
Warren-Ingram Initiative,Were the project risks effectively managed? Please rate from 1 to 5,04-02-2024,10-02-2024,qvega@example.org,,
Harris-Randolph Initiative,How satisfied are you with the project deliverables?,25-02-2024,02-03-2024,gmyers@example.com,3.0,
Ford-Gibson Project,Rate the communication between team members on a scale of 1 to 5,11-12-2022,17-12-2022,johnlewis@example.net,2.0,
Carson-Clayton Initiative,Were the project risks effectively managed? Please rate from 1 to 5,12-02-2023,18-02-2023,campbellwilliam@example.com,1.0,
"Monroe, Campbell and Mack Initiative",Rate the level of stakeholder engagement on a scale of 1 to 5,11-02-2024,17-02-2024,ibuck@example.com,1.0,
"Johnson, Williams and Stanley Solution",How would you rate the quality of work delivered by the team?,28-05-2023,03-06-2023,michele28@example.org,1.0,
Love Inc Initiative,Rate the communication between team members on a scale of 1 to 5,21-05-2023,27-05-2023,hilldavid@example.net,,Excellent
"Rice, Jones and Harris Initiative",Were the project goals clearly defined? Please rate from 1 to 5,12-11-2023,18-11-2023,nealgabriel@example.com,5.0,
Morgan Inc Project,Did the project meet your expectations? Please rate from 1 to 5,06-11-2022,12-11-2022,reynoldsmckenzie@example.net,,
Morgan Inc Project,Did you find the project timeline realistic? Please rate from 1 to 5,12-02-2023,18-02-2023,jacobwhite@example.org,4.0,
Carson-Clayton Initiative,How would you rate the quality of work delivered by the team?,06-08-2023,12-08-2023,mariawilliams@example.com,,
Warren-Ingram Initiative,Rate the level of stakeholder engagement on a scale of 1 to 5,14-08-2022,20-08-2022,katiemorales@example.org,,
Singh Ltd Solution,How would you rate the problem-solving skills of the team?,03-07-2022,09-07-2022,terranceadkins@example.net,4.0,
Warren-Ingram Initiative,Rate the communication between team members on a scale of 1 to 5,07-04-2024,13-04-2024,charlesbest@example.net,4.0,
Harrison LLC Solution,How would you rate the level of client satisfaction with the project outcomes?,03-07-2022,09-07-2022,rclay@example.com,3.0,
Carson-Clayton Initiative,Were the project resources allocated efficiently? Please rate from 1 to 5,23-04-2023,29-04-2023,lorihoward@example.com,5.0,
Lyons-Harrison Initiative,Rate the effectiveness of the project management on a scale of 1 to 5,26-03-2023,01-04-2023,wendy87@example.com,1.0,
Walker-Evans Initiative,Did the project meet the specified deadlines? Please rate from 1 to 5,08-05-2022,14-05-2022,jacobwhite@example.org,3.0,
Roberts Ltd Initiative,Rate the level of adaptability shown by the team members on a scale of 1 to 5,22-05-2022,28-05-2022,richardlang@example.org,3.0,Good
Knox-Pope Initiative,How satisfied are you with the overall progress of the project?,29-05-2022,04-06-2022,perkinsronald@example.com,,
"Hall, Copeland and Fuller Solution",Were the project goals clearly defined? Please rate from 1 to 5,29-01-2023,04-02-2023,coxjennifer@example.org,5.0,
Lucas Inc Initiative,Were the project resources allocated efficiently? Please rate from 1 to 5,18-06-2023,24-06-2023,felicia68@example.org,4.0,
Williams LLC Initiative,How would you rate the level of client satisfaction with the project outcomes?,11-06-2023,17-06-2023,bernardkyle@example.net,3.0,
Warren-Ingram Initiative,How would you rate the level of client satisfaction with the project outcomes?,25-12-2022,31-12-2022,robinmontoya@example.net,3.0,
Knox-Pope Initiative,Rate the level of adaptability shown by the team members on a scale of 1 to 5,24-04-2022,30-04-2022,juan62@example.com,2.0,
"Lopez, Ramirez and Harris Initiative",Rate the level of stakeholder engagement on a scale of 1 to 5,05-06-2022,11-06-2022,mnorton@example.net,1.0,
White-Holland Solution,How would you rate the level of client satisfaction with the project outcomes?,10-09-2023,16-09-2023,michellekennedy@example.com,4.0,
Harrison LLC Solution,How would you rate the level of client satisfaction with the project outcomes?,01-05-2022,07-05-2022,jerry95@example.com,1.0,
"Silva, Wright and Schmidt Initiative",Rate the communication between team members on a scale of 1 to 5,09-10-2022,15-10-2022,terri80@example.org,1.0,
"Lam, Fisher and Abbott Project",Did the project meet the specified deadlines? Please rate from 1 to 5,26-11-2023,02-12-2023,charlesmccarthy@example.net,2.0,
Hale-Aguilar Solution,Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,26-06-2022,02-07-2022,careyjohn@example.com,,
Walker-Evans Initiative,How satisfied are you with the project deliverables?,14-08-2022,20-08-2022,wendy87@example.com,,
Lucas Inc Initiative,Did the project meet the specified deadlines? Please rate from 1 to 5,12-06-2022,18-06-2022,diana26@example.org,2.0,Poor
Williams LLC Initiative,Did you find the project timeline realistic? Please rate from 1 to 5,30-10-2022,05-11-2022,katherine04@example.com,5.0,
"Johnson, Williams and Stanley Solution",How would you rate the quality of work delivered by the team?,19-11-2023,25-11-2023,stephenwhite@example.org,3.0,
Ford-Gibson Project,Rate the effectiveness of the project management on a scale of 1 to 5,03-03-2024,09-03-2024,derrickbarnes@example.com,,
"Johnson, Pierce and Davis Project",How satisfied are you with the level of collaboration within the team?,04-02-2024,10-02-2024,clarkandrea@example.com,1.0,
Williams LLC Initiative,Did the project meet the specified deadlines? Please rate from 1 to 5,01-05-2022,07-05-2022,oreilly@example.com,1.0,Poor
Shaffer-Donovan Initiative,How would you rate the problem-solving skills of the team?,03-03-2024,09-03-2024,nleblanc@example.net,,Average
"Lam, Fisher and Abbott Project",How would you rate the level of client satisfaction with the project outcomes?,29-05-2022,04-06-2022,steven98@example.org,3.0,
Wright PLC Solution,Were the project goals clearly defined? Please rate from 1 to 5,01-10-2023,07-10-2023,ashleysingleton@example.net,1.0,
Ford-Gibson Project,Rate the communication between team members on a scale of 1 to 5,05-06-2022,11-06-2022,ricejohn@example.net,,
Lewis PLC Project,Did the project meet your expectations? Please rate from 1 to 5,17-12-2023,23-12-2023,hobrien@example.com,5.0,
"Hale, Gray and Martinez Initiative",Rate the effectiveness of the project management on a scale of 1 to 5,14-08-2022,20-08-2022,adkinsmeredith@example.net,5.0,
"Monroe, Campbell and Mack Initiative",Rate the level of stakeholder engagement on a scale of 1 to 5,13-11-2022,19-11-2022,lisamartinez@example.com,4.0,
Morgan Inc Project,How satisfied are you with the level of transparency in project communication?,21-08-2022,27-08-2022,bentleymaria@example.org,,
Lyons-Harrison Initiative,How would you rate the quality of work delivered by the team?,22-10-2023,28-10-2023,wendy87@example.com,4.0,
Thomas Inc Project,Did you find the project timeline realistic? Please rate from 1 to 5,08-01-2023,14-01-2023,lauren57@example.net,3.0,
Roberts Ltd Initiative,Rate the level of adaptability shown by the team members on a scale of 1 to 5,30-07-2023,05-08-2023,nataliewatson@example.net,4.0,
"Adams, Stewart and Thompson Initiative",How satisfied are you with the overall progress of the project?,21-05-2023,27-05-2023,maria79@example.net,3.0,
Sanchez Inc Initiative,Rate the level of innovation demonstrated in the project from 1 to 5,09-04-2023,15-04-2023,holly06@example.com,2.0,
Shaffer-Donovan Initiative,Rate the level of stakeholder engagement on a scale of 1 to 5,24-07-2022,30-07-2022,wesley85@example.com,2.0,
"Johnson, Pierce and Davis Project",How would you rate the level of client satisfaction with the project outcomes?,11-06-2023,17-06-2023,hwilliams@example.net,,
Weaver Group Solution,How satisfied are you with the level of collaboration within the team?,13-11-2022,19-11-2022,angeladunlap@example.org,1.0,
Miller Group Project,Did the project meet the specified deadlines? Please rate from 1 to 5,07-04-2024,13-04-2024,mchavez@example.org,1.0,Poor
"Johnson, Williams and Stanley Solution",Did you find the project timeline realistic? Please rate from 1 to 5,05-06-2022,11-06-2022,ayalanicholas@example.net,,
"Hale, Gray and Martinez Initiative",Rate the effectiveness of the project management on a scale of 1 to 5,10-04-2022,16-04-2022,lwatson@example.com,2.0,
Carson-Clayton Initiative,How satisfied are you with the overall progress of the project?,01-01-2023,07-01-2023,tmccarty@example.com,5.0,
Bell-Henderson Project,Rate the level of innovation demonstrated in the project from 1 to 5,19-03-2023,25-03-2023,randygriffith@example.org,3.0,
Harris-Randolph Initiative,How satisfied are you with the project deliverables?,12-06-2022,18-06-2022,jerome92@example.net,3.0,
Knox-Pope Initiative,Were the project goals clearly defined? Please rate from 1 to 5,30-04-2023,06-05-2023,vglass@example.net,5.0,Poor
Williams LLC Initiative,How satisfied are you with the project deliverables?,18-06-2023,24-06-2023,cmclaughlin@example.net,1.0,
Hale-Aguilar Solution,How would you rate the problem-solving skills of the team?,28-01-2024,03-02-2024,richardsdenise@example.net,2.0,
Harrison LLC Solution,Did you find the project timeline realistic? Please rate from 1 to 5,23-07-2023,29-07-2023,kevin86@example.com,1.0,
"Smith, Richard and Arroyo Project",How would you rate the quality of work delivered by the team?,13-08-2023,19-08-2023,kevinstone@example.com,3.0,
Harrison LLC Solution,Rate the level of innovation demonstrated in the project from 1 to 5,08-01-2023,14-01-2023,kevingrimes@example.com,5.0,
"Silva, Wright and Schmidt Initiative",Rate the effectiveness of the project management on a scale of 1 to 5,18-02-2024,24-02-2024,barbara52@example.net,1.0,
Lam-Garrison Initiative,Rate the communication between team members on a scale of 1 to 5,04-02-2024,10-02-2024,melissa58@example.com,3.0,
Roberts Ltd Initiative,How satisfied are you with the project deliverables?,24-03-2024,30-03-2024,andrewsjames@example.com,3.0,
Walker-Evans Initiative,Rate the level of stakeholder engagement on a scale of 1 to 5,02-07-2023,08-07-2023,christopherharris@example.com,4.0,
Carson-Clayton Initiative,Were the project resources allocated efficiently? Please rate from 1 to 5,29-01-2023,04-02-2023,katieclark@example.net,,Excellent
Clark Group Initiative,Did the project meet your expectations? Please rate from 1 to 5,12-02-2023,18-02-2023,tdavis@example.org,5.0,Fair
Ford-Gibson Project,Rate the level of adaptability shown by the team members on a scale of 1 to 5,03-03-2024,09-03-2024,derrickbarnes@example.com,,
"Johnson, Pierce and Davis Project",Did the project meet the specified deadlines? Please rate from 1 to 5,02-07-2023,08-07-2023,rickeymckenzie@example.org,3.0,
