userEmail,projectSelected,dateStart,dateEnd,taskSelected,commentAdded,d0,d1,d2,d3,d4,d5,d6,activityName
jerome92@example.net,Bailey-Jimenez Solution,25-12-2022,31-12-2022,,,12.0,3.0,,5.0,9.0,10.0,2.0,BAU Activity
tfletcher@example.org,Davis-Sullivan Project,17-04-2022,23-04-2022,,,2.0,,,,5.0,9.0,2.0,Sales Activity
diane50@example.net,Sanchez Inc Initiative,03-03-2024,09-03-2024,,Hopeful for a successful outcome,5.0,4.0,,3.0,4.0,10.0,3.0,Sales Activity
conniesmith@example.net,"Monroe, Campbell and Mack Initiative",29-05-2022,04-06-2022,,,,4.0,3.0,,4.0,,1.0,Sales Activity
ronaldpatton@example.net,Lucas Inc Initiative,28-01-2024,03-02-2024,,,,11.0,5.0,4.0,,5.0,3.0,BAU Activity
ericgriffin@example.net,Love Inc Initiative,03-07-2022,09-07-2022,,Eager to collaborate with the team,2.0,6.0,,,9.0,4.0,0.0,Sales Activity
howardlaura@example.net,Sanchez Inc Initiative,25-06-2023,01-07-2023,,Feeling optimistic about this project,3.0,1.0,,4.0,2.0,,,Sales Activity
eowens@example.com,Martinez Inc Solution,22-01-2023,28-01-2023,,,,,6.0,2.0,11.0,,1.0,BAU Activity
staylor@example.net,Clark Group Initiative,02-07-2023,08-07-2023,,,1.0,,,,5.0,3.0,9.0,BAU Activity
josephlin@example.net,Shaffer-Donovan Initiative,23-10-2022,29-10-2022,,Eager to collaborate with the team,0.0,4.0,11.0,,1.0,1.0,,BAU Activity
markterry@example.com,White-Lozano Project,11-02-2024,17-02-2024,,,3.0,2.0,5.0,,7.0,,8.0,BAU Activity
williamschmidt@example.org,Lucas Inc Initiative,24-12-2023,30-12-2023,,,,10.0,,,6.0,6.0,,BAU Activity
thorntonpatricia@example.org,Nguyen-Cox Initiative,11-09-2022,17-09-2022,,Eager to collaborate with the team,,,8.0,5.0,6.0,7.0,5.0,BAU Activity
williammolina@example.net,Rodriguez-Fletcher Solution,07-08-2022,13-08-2022,,Ready to dive in,,5.0,9.0,8.0,5.0,11.0,3.0,Sales Activity
mbrown@example.net,Ford-Gibson Project,10-07-2022,16-07-2022,,,,4.0,1.0,12.0,0.0,3.0,7.0,Sales Activity
martinbruce@example.org,"Johnson, Williams and Stanley Solution",02-04-2023,08-04-2023,,,4.0,4.0,5.0,12.0,,6.0,2.0,Sales Activity
grobbins@example.net,Williams LLC Initiative,31-12-2023,06-01-2024,,Looking forward to the challenge,3.0,,11.0,,,4.0,,Sales Activity
josephevans@example.org,Love Inc Initiative,23-07-2023,29-07-2023,,,,,4.0,4.0,,0.0,0.0,Sales Activity
hoffmansandra@example.net,"Johnson, Pierce and Davis Project",31-12-2023,06-01-2024,,,3.0,6.0,7.0,4.0,6.0,11.0,,Sales Activity
